mem: 140737129892186, val: 0
mem: 140737129892185, val: 0
mem: 140737129892184, val: 1
mem: 140737129892183, val: 0
mem: 140737129892182, val: 0
mem: 140737129892181, val: 127
mem: 140737129892180, val: 43
mem: 140737129892179, val: 250
mem: 140737129892178, val: 35
mem: 140737129892177, val: 95
mem: 140737129892176, val: 3
mem: 140737129892175, val: 0
mem: 140737129892174, val: 0
mem: 140737129892173, val: 0
mem: 140737129892172, val: 0
mem: 140737129892171, val: 0
mem: 140737129892170, val: 0
mem: 140737129892169, val: 3
mem: 140737129892168, val: 24
mem: 140737129892167, val: 0
mem: 140737129892166, val: 0
mem: 140737129892165, val: 0
mem: 140737129892164, val: 0
mem: 140737129892163, val: 0
mem: 140737129892162, val: 0
mem: 140737129892161, val: 3
mem: 140737129892160, val: 16
mem: 140737129892159, val: 0
mem: 140737129892158, val: 0
mem: 140737129892157, val: 0
mem: 140737129892156, val: 0
mem: 140737129892155, val: 0
mem: 140737129892154, val: 0
mem: 140737129892153, val: 3
mem: 140737129892152, val: 8
mem: 140737129892151, val: 0
mem: 140737129892150, val: 0
mem: 140737129892149, val: 0
mem: 140737129892148, val: 0
mem: 140737129892147, val: 0
mem: 140737129892146, val: 0
mem: 140737129892145, val: 0
mem: 140737129892144, val: 1
mem: 140737129892143, val: 0
mem: 140737129892142, val: 0
mem: 140737129892141, val: 0
mem: 140737129892140, val: 0
mem: 140737129892139, val: 0
mem: 140737129892138, val: 0
mem: 140737129892137, val: 2
mem: 140737129892136, val: 248
mem: 140737129892135, val: 0
mem: 140737129892134, val: 0
mem: 140737129892133, val: 0
mem: 140737129892132, val: 0
mem: 140737129892131, val: 0
mem: 140737129892130, val: 0
mem: 140737129892129, val: 2
mem: 140737129892128, val: 240
mem: 140737129892127, val: 0
mem: 140737129892126, val: 0
mem: 140737129892125, val: 0
mem: 140737129892124, val: 0
mem: 140737129892123, val: 0
mem: 140737129892122, val: 0
mem: 140737129892121, val: 0
mem: 140737129892120, val: 0
mem: 140737129892119, val: 0
mem: 140737129892118, val: 0
mem: 140737129892117, val: 0
mem: 140737129892116, val: 0
mem: 140737129892115, val: 0
mem: 140737129892114, val: 0
mem: 140737129892113, val: 4
mem: 140737129892112, val: 0
mem: 140737129892111, val: 0
mem: 140737129892110, val: 0
mem: 140737129892109, val: 0
mem: 140737129892108, val: 0
mem: 140737129892107, val: 0
mem: 140737129892106, val: 0
mem: 140737129892105, val: 0
mem: 140737129892104, val: 0
mem: 140737129892103, val: 0
mem: 140737129892102, val: 0
mem: 140737129892101, val: 127
mem: 140737129892100, val: 43
mem: 140737129892099, val: 249
mem: 140737129892098, val: 244
mem: 140737129892097, val: 0
mem: 140737129892096, val: 0
mem: 140737129892095, val: 0
mem: 140737129892094, val: 0
mem: 140737129892093, val: 0
mem: 140737129892092, val: 0
mem: 140737129892091, val: 0
mem: 140737129892090, val: 0
mem: 140737129892089, val: 0
mem: 140737129892088, val: 1
mem: 140737129892087, val: 0
mem: 140737129892086, val: 0
mem: 140737129892085, val: 0
mem: 140737129892084, val: 3
mem: 140737129892083, val: 0
mem: 140737129892082, val: 0
mem: 140737129892081, val: 0
mem: 140737129892080, val: 0
mem: 140737129892079, val: 0
mem: 140737129892078, val: 0
mem: 140737129892077, val: 0
mem: 140737129892076, val: 3
mem: 140737129892075, val: 0
mem: 140737129892074, val: 0
mem: 140737129892073, val: 0
mem: 140737129892072, val: 0
mem: 140737129892071, val: 0
mem: 140737129892070, val: 0
mem: 140737129892069, val: 0
mem: 140737129892068, val: 0
mem: 140737129892067, val: 0
mem: 140737129892066, val: 0
mem: 140737129892065, val: 0
mem: 140737129892064, val: 9
mem: 140737129892063, val: 0
mem: 140737129892062, val: 0
mem: 140737129892061, val: 127
mem: 140737129892060, val: 43
mem: 140737129892059, val: 250
mem: 140737129892058, val: 2
mem: 140737129892057, val: 155
mem: 140737129892056, val: 137
mem: 140737129892055, val: 0
mem: 140737129892054, val: 0
mem: 140737129892053, val: 0
mem: 140737129892052, val: 0
mem: 140737129892051, val: 0
mem: 140737129892050, val: 0
mem: 140737129892049, val: 4
mem: 140737129892048, val: 0
mem: 140737129892047, val: 0
mem: 140737129892046, val: 0
mem: 140737129892045, val: 0
mem: 140737129892044, val: 0
mem: 140737129892043, val: 0
mem: 140737129892042, val: 0
mem: 140737129892041, val: 0
mem: 140737129892040, val: 0
mem: 140737129892039, val: 0
mem: 140737129892038, val: 0
mem: 140737129892037, val: 0
mem: 140737129892036, val: 0
mem: 140737129892035, val: 0
mem: 140737129892034, val: 0
mem: 140737129892033, val: 4
mem: 140737129892032, val: 0
mem: 140737129892031, val: 0
mem: 140737129892030, val: 0
mem: 140737129892029, val: 0
mem: 140737129892028, val: 0
mem: 140737129892027, val: 0
mem: 140737129892026, val: 0
mem: 140737129892025, val: 0
mem: 140737129892024, val: 0
mem: 140737129892023, val: 0
mem: 140737129892022, val: 0
mem: 140737129892021, val: 0
mem: 140737129892020, val: 0
mem: 140737129892019, val: 0
mem: 140737129892018, val: 0
mem: 140737129892017, val: 2
mem: 140737129892016, val: 128
mem: 140737129892015, val: 0
mem: 140737129892014, val: 0
mem: 140737129892013, val: 0
mem: 140737129892012, val: 0
mem: 140737129892011, val: 0
mem: 140737129892010, val: 0
mem: 140737129892009, val: 0
mem: 140737129892008, val: 1
mem: 140737129892007, val: 0
mem: 140737129892006, val: 0
mem: 140737129892005, val: 127
mem: 140737129892004, val: 255
mem: 140737129892003, val: 234
mem: 140737129892002, val: 162
mem: 140737129892001, val: 72
mem: 140737129892000, val: 160
mem: 140737129891999, val: 0
mem: 140737129891998, val: 0
mem: 140737129891997, val: 127
mem: 140737129891996, val: 255
mem: 140737129891995, val: 234
mem: 140737129891994, val: 162
mem: 140737129891993, val: 72
mem: 140737129891992, val: 152
mem: 140737129891991, val: 0
mem: 140737129891990, val: 0
mem: 140737129891989, val: 127
mem: 140737129891988, val: 43
mem: 140737129891987, val: 250
mem: 140737129891986, val: 2
mem: 140737129891985, val: 133
mem: 140737129891984, val: 48
mem: 140737129891983, val: 0
mem: 140737129891982, val: 0
mem: 140737129891981, val: 127
mem: 140737129891980, val: 255
mem: 140737129891979, val: 234
mem: 140737129891978, val: 162
mem: 140737129891977, val: 73
mem: 140737129891976, val: 192
mem: 140737129891975, val: 0
mem: 140737129891974, val: 0
mem: 140737129891973, val: 127
mem: 140737129891972, val: 255
mem: 140737129891971, val: 234
mem: 140737129891970, val: 162
mem: 140737129891969, val: 73
mem: 140737129891968, val: 192
mem: 140737129891967, val: 0
mem: 140737129891966, val: 0
mem: 140737129891965, val: 127
mem: 140737129891964, val: 43
mem: 140737129891963, val: 250
mem: 140737129891962, val: 2
mem: 140737129891961, val: 133
mem: 140737129891960, val: 48
mem: 140737129891959, val: 0
mem: 140737129891958, val: 0
mem: 140737129891957, val: 127
mem: 140737129891956, val: 43
mem: 140737129891955, val: 250
mem: 140737129891954, val: 2
mem: 140737129891953, val: 130
mem: 140737129891952, val: 64
mem: 140737129891951, val: 0
mem: 140737129891950, val: 0
mem: 140737129891949, val: 127
mem: 140737129891948, val: 255
mem: 140737129891947, val: 234
mem: 140737129891946, val: 162
mem: 140737129891945, val: 72
mem: 140737129891944, val: 104
mem: 140737129891943, val: 0
mem: 140737129891942, val: 0
mem: 140737129891941, val: 127
mem: 140737129891940, val: 255
mem: 140737129891939, val: 234
mem: 140737129891938, val: 162
mem: 140737129891937, val: 73
mem: 140737129891936, val: 80
mem: 140737129891935, val: 0
mem: 140737129891934, val: 0
mem: 140737129891933, val: 127
mem: 140737129891932, val: 43
mem: 140737129891931, val: 250
mem: 140737129891930, val: 0
mem: 140737129891929, val: 108
mem: 140737129891928, val: 41
mem: 140737129891927, val: 0
mem: 140737129891926, val: 0
mem: 140737129891925, val: 127
mem: 140737129891924, val: 255
mem: 140737129891923, val: 234
mem: 140737129891922, val: 162
mem: 140737129891921, val: 72
mem: 140737129891920, val: 80
mem: 140737129891919, val: 0
mem: 140737129891918, val: 0
mem: 140737129891917, val: 0
mem: 140737129891916, val: 0
mem: 140737129891915, val: 0
mem: 140737129891914, val: 0
mem: 140737129891913, val: 0
mem: 140737129891912, val: 0
mem: 140737129891911, val: 1
mem: 140737129891910, val: 0
mem: 140737129891909, val: 0
mem: 140737129891908, val: 0
mem: 140737129891907, val: 0
mem: 140737129891906, val: 0
mem: 140737129891905, val: 0
mem: 140737129891904, val: 2
mem: 140737129891903, val: 0
mem: 140737129891902, val: 0
mem: 140737129891901, val: 127
mem: 140737129891900, val: 255
mem: 140737129891899, val: 234
mem: 140737129891898, val: 162
mem: 140737129891897, val: 73
mem: 140737129891896, val: 144
mem: 140737129891895, val: 0
mem: 140737129891894, val: 0
mem: 140737129891893, val: 0
mem: 140737129891892, val: 0
mem: 140737129891891, val: 0
mem: 140737129891890, val: 0
mem: 140737129891889, val: 0
mem: 140737129891888, val: 3
mem: 140737129891887, val: 0
mem: 140737129891886, val: 0
mem: 140737129891885, val: 0
mem: 140737129891884, val: 0
mem: 140737129891883, val: 0
mem: 140737129891882, val: 0
mem: 140737129891881, val: 0
mem: 140737129891880, val: 2
mem: 140737129891879, val: 0
mem: 140737129891878, val: 0
mem: 140737129891877, val: 127
mem: 140737129891876, val: 255
mem: 140737129891875, val: 234
mem: 140737129891874, val: 162
mem: 140737129891873, val: 73
mem: 140737129891872, val: 144
mem: 140737129891871, val: 0
mem: 140737129891870, val: 0
mem: 140737129891869, val: 127
mem: 140737129891868, val: 255
mem: 140737129891867, val: 234
mem: 140737129891866, val: 162
mem: 140737129891865, val: 72
mem: 140737129891864, val: 24
mem: 140737129891863, val: 0
mem: 140737129891862, val: 0
mem: 140737129891861, val: 0
mem: 140737129891860, val: 0
mem: 140737129891859, val: 0
mem: 140737129891858, val: 0
mem: 140737129891857, val: 0
mem: 140737129891856, val: 0
mem: 140737129891855, val: 0
mem: 140737129891854, val: 0
mem: 140737129891853, val: 0
mem: 140737129891852, val: 0
mem: 140737129891851, val: 0
mem: 140737129891850, val: 0
mem: 140737129891849, val: 0
mem: 140737129891848, val: 3
mem: 140737129891847, val: 0
mem: 140737129891846, val: 0
mem: 140737129891845, val: 127
mem: 140737129891844, val: 43
mem: 140737129891843, val: 250
mem: 140737129891842, val: 35
mem: 140737129891841, val: 94
mem: 140737129891840, val: 232
mem: 140737129891839, val: 0
mem: 140737129891838, val: 0
mem: 140737129891837, val: 0
mem: 140737129891836, val: 0
mem: 140737129891835, val: 0
mem: 140737129891834, val: 0
